Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN
31.10.2019;950,633;3,82239;3633,6901;108,577;106,2271
30.11.2019;973,8407;3,9162;3813,7549;108,5188;106,3085
31.12.2019;1008,1327;3,7938;3824,6538;108,4201;107,1225
31.01.2020;996,9984;3,87436;3862,7307;108,8407;108,0993
29.02.2020;916,4696;3,92137;3593,8164;109,139;108,8319
31.03.2020;792,7429;4,13216;3275,7405;108,9015;109,0761
30.04.2020;877,6676;4,14946;3641,8466;108,1733;108,9947
31.05.2020;915,8376;4,00709;3669,8437;108,1754;108,7505
30.06.2020;945,1016;3,95887;3741,5344;108,7673;109,4017
31.07.2020;995,0844;3,74482;3726,412;109,3175;109,1575
31.08.2020;1055,9907;3,68275;3888,9498;109,6622;109,0761
30.09.2020;1021,9416;3,86325;3948,0159;109,8149;109,3203
31.10.2020;997,0984;3,95484;3943,3646;109,8605;109,4017
30.11.2020;1120,0038;3,7541;4204,6063;109,7934;109,4831
31.12.2020;1172,0041;3,7346;4376,9665;109,8968;109,5645
31.01.2021;1166,6763;3,72404;4344,7492;110,3642;110,9483
28.02.2021;1193,6977;3,7466;4472,3078;110,9684;111,5181
31.03.2021;1225,5829;3,94988;4840,9054;111,7544;112,6577
30.04.2021;1279,1687;3,79148;4849,9425;112,6729;113,5531
31.05.2021;1299,0733;3,66317;4758,7263;113,5762;113,8787
30.06.2021;1316,1925;3,81105;5016,0754;114,6314;113,9601
31.07.2021;1325,2627;3,85285;5106,0384;115,1829;114,4485
31.08.2021;1358,4334;3,83065;5203,6829;115,4208;114,7741
30.09.2021;1302,3157;3,98072;5184,1542;115,7343;115,5881
31.10.2021;1368,7927;3,9907;5462,441;116,6958;116,8905
30.11.2021;1335,8292;4,11015;5490,4584;117,2692;118,0301
31.12.2021;1389,2651;4,0341;5604,4343;117,6295;119,0883
31.01.2022;1321,0347;4,0782;5387,4437;118,6193;121,3675
28.02.2022;1286,9141;4,19083;5393,2382;119,7028;121,0419
31.03.2022;1314,7891;4,1994;5521,3253;121,301;125,0305
30.04.2022;1209,5492;4,43105;5359,573;121,9782;127,5539
31.05.2022;1210,9669;4,2712;5172,2818;123,3228;129,7517
30.06.2022;1108,8874;4,48525;4973,6372;125,0168;131,7053
31.07.2022;1186,3237;4,63744;5501,505;125,002;132,3565
31.08.2022;1142,6473;4,70088;5371,4478;124,9577;133,4147
30.09.2022;1033,2615;4,9573;5122,1872;125,2265;135,5311
31.10.2022;1095,6177;4,7724;5228,7259;125,7344;137,9731
30.11.2022;1180,5959;4,487;5297,3338;125,6074;138,9499
31.12.2022;1134,1412;4,38031;4967,89;125,2218;139,1127
31.01.2023;1215,4306;4,33524;5269,1834;126,223;142,6129
28.02.2023;1180,5959;4,44635;5249,3426;126,9276;144,3223
31.03.2023;1216,9983;4,31426;5250,4471;127,3478;145,9503
30.04.2023;1234,4888;4,16199;5137,93;127,9921;147,0085
31.05.2023;1221,2656;4,24044;5178,7035;128,3144;147,0085
30.06.2023;1292,1742;4,06505;5252,7527;128,7287;147,0085
31.07.2023;1339,4787;4,00395;5363,2057;128,9743;146,683
31.08.2023;1302,0479;4,12312;5368,4997;129,5375;146,683
30.09.2023;1248,2085;4,36773;5451,8377;129,8595;146,1131
31.10.2023;1210,6777;4,2128;5100,343;129,8097;146,5201
30.11.2023;1322,4202;3,997;5285,7135;129,5481;147,5784
31.12.2023;1385,9405;3,93417;5452,5255;129,4194;147,7411
31.01.2024;1394,0644;4,00365;5581,3459;130,1244;148,3109
29.02.2024;1453,8888;3,99355;5806,1776;130,9299;148,7179
31.03.2024;1499,5364;3,98925;5982,0256;131,7762;149,0435
