Date;ACWI_Net;USDPLN;ACWI_Net_PLN;CPI_USA;CPI_PLN;WIBOR3m;10yPL;TBSP
31.05.2007;550,7102;2,8357;1561,6489;87,7359;83,5165;0,0444;0,05327;1015,92
30.06.2007;549,089;2,7852;1529,3227;87,9059;83,5165;0,0471;0,05641;1007,31
31.07.2007;540,7044;2,7667;1495,9669;87,8836;83,2723;0,0481;0,05599;1012,06
31.08.2007;539,2082;2,8059;1512,9643;87,7224;82,9467;0,0503;0,05789;1011,1
30.09.2007;568,1544;2,6495;1505,3251;87,9642;83,5979;0,051;0,057;1018,12
31.10.2007;590,3194;2,508;1480,5211;88,1523;84,0863;0,0521;0,05514;1024,76
30.11.2007;564,2192;2,4568;1386,1737;88,6759;84,6561;0,0556;0,05777;1015,5
31.12.2007;557,9736;2,4465;1365,0824;88,6164;84,9003;0,057;0,05916;1016,53
31.01.2008;512,2724;2,4312;1245,4367;89,0569;85,4701;0,0565;0,05688;1033,39
29.02.2008;513,7222;2,3123;1187,8798;89,3155;85,7957;0,0594;0,05973;1023,61
31.03.2008;506,1839;2,2266;1127,0691;90,0897;86,1213;0,0615;0,05971;1028,44
30.04.2008;534,4231;2,2152;1183,8541;90,6361;86,4469;0,0634;0,05981;1035,2
31.05.2008;542,7756;2,1686;1177,0632;91,3994;87,0981;0,0648;0,06292;1028,99
30.06.2008;498,2064;2,1293;1060,8309;92,3204;87,2609;0,0665;0,06628;1020,31
31.07.2008;485,2688;2,0603;999,7993;92,8052;87,2609;0,0656;0,06271;1040,15
31.08.2008;474,8094;2,2742;1079,8115;92,4347;86,9353;0,065;0,06069;1051,07
30.09.2008;415,4672;2,4161;1003,8103;92,3069;87,1795;0,0663;0,05873;1064,43
31.10.2008;333,1422;2,7542;917,5402;91,3745;87,5051;0,0685;0,06623;1040,92
30.11.2008;311,2558;2,9718;924,99;89,6244;87,6679;0,0656;0,05905;1081
31.12.2008;322,5365;2,9383;947,709;88,6974;87,5865;0,0588;0,05387;1108,83
31.01.2009;294,9793;3,4706;1023,7552;89,0835;87,9935;0,0486;0,05755;1114,97
28.02.2009;266,0974;3,6588;973,5972;89,5265;88,8075;0,0451;0,06174;1090,25
31.03.2009;288,016;3,5139;1012,0594;89,7442;89,4587;0,0417;0,06297;1095,92
30.04.2009;322,0151;3,3455;1077,3015;89,9682;90,1099;0,043;0,06209;1108,34
31.05.2009;354,1002;3,1928;1130,5711;90,2281;90,5983;0,0462;0,06303;1110,06
30.06.2009;352,1147;3,172;1116,9078;91,0032;90,7611;0,0444;0,06269;1118,02
31.07.2009;383,1107;2,9079;1114,0476;90,8589;90,8425;0,0417;0,06114;1136,41
31.08.2009;396,8125;2,8526;1131,9473;91,0627;90,5169;0,0418;0,06118;1136,11
30.09.2009;415,0172;2,8691;1190,7258;91,1196;90,5169;0,0418;0,06181;1137,81
31.10.2009;408,6038;2,8859;1179,1897;91,2074;90,5983;0,0418;0,06147;1147,3
30.11.2009;425,4087;2,779;1182,2108;91,2719;90,8425;0,0419;0,06193;1150,76
31.12.2009;434,2183;2,8602;1241,9512;91,1112;90,8425;0,0427;0,06259;1153,5
31.01.2010;415,4529;2,9069;1207,68;91,4226;91,4123;0,0419;0,06109;1169,51
28.02.2010;420,7451;2,9008;1220,4974;91,4453;91,5751;0,0415;0,06055;1178,06
31.03.2010;447,813;2,8492;1275,9088;91,8208;91,8193;0,041;0,0551;1197,52
30.04.2010;448,5664;2,9547;1325,3791;91,9803;92,2263;0,0386;0,0562;1201,29
31.05.2010;406,0398;3,3121;1344,8444;92,0516;92,4705;0,0386;0,05803;1199,74
30.06.2010;393,5308;3,3697;1326,0807;91,9618;92,7147;0,0387;0,05941;1198,14
31.07.2010;425,5516;3,0673;1305,2944;91,9812;92,5519;0,0382;0,05883;1207
31.08.2010;410,675;3,1458;1291,9014;92,1082;92,1449;0,0381;0,05433;1221,37
30.09.2010;449,9627;2,9136;1311,0113;92,1617;92,7147;0,0384;0,05503;1228,01
31.10.2010;466,2248;2,8462;1326,969;92,2765;93,2031;0,0385;0,05669;1227,91
30.11.2010;455,8512;3,0841;1405,8907;92,3153;93,2845;0,0388;0,06055;1221,56
31.12.2010;489,2326;2,9579;1447,1011;92,474;93,6915;0,0395;0,06055;1228,66
31.01.2011;496,9101;2,8677;1424,9891;92,9144;94,8311;0,0409;0,06344;1220,08
28.02.2011;511,3797;2,8692;1467,2506;93,3726;94,9939;0,0415;0,06236;1226,94
31.03.2011;510,869;2,8386;1450,1527;94,2831;95,8893;0,0419;0,06273;1232,93
